feature,importance,rank,bank,case,seed,is_macro_case,is_ga_case
Price Change 1 Day Percent,0.0128672419141771,1,BBCA,bilstm_data,42,False,False
Dividend Indicated Yld - Gross,0.0091741719315501,2,BBCA,bilstm_data,42,False,False
Low Price,0.0048834059361575,3,BBCA,bilstm_data,42,False,False
Ask Price,0.004393201627277,4,BBCA,bilstm_data,42,False,False
High Price,0.0038347064633853,5,BBCA,bilstm_data,42,False,False
Price to Book Ratio,0.0028151344430322,6,BBCA,bilstm_data,42,False,False
Bid Price,0.0018060956396059,7,BBCA,bilstm_data,42,False,False
Price Earnings Ratio,0.001533384715569,8,BBCA,bilstm_data,42,False,False
Moving Average 20 Day,8.273671846836343e-05,9,BBCA,bilstm_data,42,False,False
Price to Sales Ratio,2.1145779949923472e-05,10,BBCA,bilstm_data,42,False,False
High Price,0.0113245808143926,1,BBCA,bilstm_data,52,False,False
Price Earnings Ratio,0.0089450530494693,2,BBCA,bilstm_data,52,False,False
Price to Book Ratio,0.0082029845869721,3,BBCA,bilstm_data,52,False,False
Price to Sales Ratio,0.0053625060735309,4,BBCA,bilstm_data,52,False,False
Low Price,0.0046424630583108,5,BBCA,bilstm_data,52,False,False
Moving Average 20 Day,0.0043968731763443,6,BBCA,bilstm_data,52,False,False
Price Change 1 Day Percent,0.0019688671094128,7,BBCA,bilstm_data,52,False,False
Ask Price,0.001811997158317,8,BBCA,bilstm_data,52,False,False
Bid Price,0.0017526044039793,9,BBCA,bilstm_data,52,False,False
Dividend Indicated Yld - Gross,0.0011408198508433,10,BBCA,bilstm_data,52,False,False
Ask Price,0.0087485610569274,1,BBCA,bilstm_data,62,False,False
Price to Sales Ratio,0.0082246401577625,2,BBCA,bilstm_data,62,False,False
Low Price,0.0051871878777698,3,BBCA,bilstm_data,62,False,False
High Price,0.0042696555018968,4,BBCA,bilstm_data,62,False,False
Moving Average 20 Day,0.003425196396832,5,BBCA,bilstm_data,62,False,False
Bid Price,0.0030381371601833,6,BBCA,bilstm_data,62,False,False
Price Earnings Ratio,0.0024303444763063,7,BBCA,bilstm_data,62,False,False
Dividend Indicated Yld - Gross,0.0018061847784944,8,BBCA,bilstm_data,62,False,False
Price to Book Ratio,0.0013236117084791,9,BBCA,bilstm_data,62,False,False
Price Change 1 Day Percent,0.0010193152554469,10,BBCA,bilstm_data,62,False,False
Moving Average 20 Day,0.0064327019064997,1,BBCA,bilstm_data,72,False,False
Bid Price,0.0058708897288999,2,BBCA,bilstm_data,72,False,False
High Price,0.0052628928820403,3,BBCA,bilstm_data,72,False,False
Price to Book Ratio,0.0045568179834767,4,BBCA,bilstm_data,72,False,False
Price Change 1 Day Percent,0.0042169084590083,5,BBCA,bilstm_data,72,False,False
Low Price,0.0041442811439212,6,BBCA,bilstm_data,72,False,False
Price Earnings Ratio,0.0026897544506937,7,BBCA,bilstm_data,72,False,False
Dividend Indicated Yld - Gross,0.0020770034478378,8,BBCA,bilstm_data,72,False,False
Ask Price,0.0019416350832519,9,BBCA,bilstm_data,72,False,False
Price to Sales Ratio,0.0008495620052729,10,BBCA,bilstm_data,72,False,False
Price to Book Ratio,0.0115546816158004,1,BBCA,bilstm_data,82,False,False
Price Change 1 Day Percent,0.007396093233385,2,BBCA,bilstm_data,82,False,False
Moving Average 20 Day,0.0070749547306655,3,BBCA,bilstm_data,82,False,False
Price to Sales Ratio,0.0064918541039029,4,BBCA,bilstm_data,82,False,False
Bid Price,0.006423334730789,5,BBCA,bilstm_data,82,False,False
Low Price,0.0062606241476411,6,BBCA,bilstm_data,82,False,False
Dividend Indicated Yld - Gross,0.0056931510490054,7,BBCA,bilstm_data,82,False,False
Ask Price,0.0040275614398221,8,BBCA,bilstm_data,82,False,False
Price Earnings Ratio,0.0008377711987122,9,BBCA,bilstm_data,82,False,False
High Price,0.0001608993314827,10,BBCA,bilstm_data,82,False,False
Dividend Indicated Yld - Gross,0.0079731173124552,1,BBCA,bilstm_data_ga,42,False,True
Ask Price,0.0065626464703301,2,BBCA,bilstm_data_ga,42,False,True
Price Change 1 Day Percent,0.0055552159571864,3,BBCA,bilstm_data_ga,42,False,True
Low Price,0.005423032234992,4,BBCA,bilstm_data_ga,42,False,True
Bid Price,0.003731868564177,5,BBCA,bilstm_data_ga,42,False,True
Price to Book Ratio,0.0026398220377612,6,BBCA,bilstm_data_ga,42,False,True
Moving Average 20 Day,0.0021090830010103,7,BBCA,bilstm_data_ga,42,False,True
Price to Sales Ratio,0.0014428734947513,8,BBCA,bilstm_data_ga,42,False,True
High Price,0.0004615816268293,9,BBCA,bilstm_data_ga,42,False,True
Price Earnings Ratio,0.0,10,BBCA,bilstm_data_ga,42,False,True
Price Earnings Ratio,0.0241165535893135,1,BBCA,bilstm_data_ga,52,False,True
Ask Price,0.0202954143867827,2,BBCA,bilstm_data_ga,52,False,True
Price Change 1 Day Percent,0.0136852168229071,3,BBCA,bilstm_data_ga,52,False,True
Price to Sales Ratio,0.0135589870559569,4,BBCA,bilstm_data_ga,52,False,True
Price to Book Ratio,0.0120505318065018,5,BBCA,bilstm_data_ga,52,False,True
Bid Price,0.0037565847095619,6,BBCA,bilstm_data_ga,52,False,True
High Price,0.0030249285327348,7,BBCA,bilstm_data_ga,52,False,True
Low Price,0.0030191024173594,8,BBCA,bilstm_data_ga,52,False,True
Moving Average 20 Day,0.0013399682187203,9,BBCA,bilstm_data_ga,52,False,True
Dividend Indicated Yld - Gross,0.0013399682187203,10,BBCA,bilstm_data_ga,52,False,True
Low Price,0.0056021587897299,1,BBCA,bilstm_data_ga,62,False,True
Ask Price,0.0046097555534086,2,BBCA,bilstm_data_ga,62,False,True
Price Earnings Ratio,0.0044260426851299,3,BBCA,bilstm_data_ga,62,False,True
Moving Average 20 Day,0.0039316548053951,4,BBCA,bilstm_data_ga,62,False,True
Bid Price,0.0033310703351162,5,BBCA,bilstm_data_ga,62,False,True
Price to Book Ratio,0.0029656723704344,6,BBCA,bilstm_data_ga,62,False,True
Price to Sales Ratio,0.0025775634334422,7,BBCA,bilstm_data_ga,62,False,True
High Price,0.0021407278138212,8,BBCA,bilstm_data_ga,62,False,True
Dividend Indicated Yld - Gross,0.0010844928561709,9,BBCA,bilstm_data_ga,62,False,True
Price Change 1 Day Percent,2.0323266896108843e-05,10,BBCA,bilstm_data_ga,62,False,True
Bid Price,0.0092604597331956,1,BBCA,bilstm_data_ga,72,False,True
Price Earnings Ratio,0.0083353484872107,2,BBCA,bilstm_data_ga,72,False,True
Price to Book Ratio,0.0080857041705813,3,BBCA,bilstm_data_ga,72,False,True
Moving Average 20 Day,0.0068211877263254,4,BBCA,bilstm_data_ga,72,False,True
Low Price,0.0049067674259034,5,BBCA,bilstm_data_ga,72,False,True
High Price,0.0031440613762889,6,BBCA,bilstm_data_ga,72,False,True
Ask Price,0.002134240792495,7,BBCA,bilstm_data_ga,72,False,True
Price Change 1 Day Percent,0.0018393610285905,8,BBCA,bilstm_data_ga,72,False,True
Dividend Indicated Yld - Gross,0.0016326795125173,9,BBCA,bilstm_data_ga,72,False,True
Price to Sales Ratio,0.0,10,BBCA,bilstm_data_ga,72,False,True
Low Price,0.0207084917948426,1,BBCA,bilstm_data_ga,82,False,True
Ask Price,0.0095603768868992,2,BBCA,bilstm_data_ga,82,False,True
Price Earnings Ratio,0.0076175666782849,3,BBCA,bilstm_data_ga,82,False,True
Moving Average 20 Day,0.0072739223086197,4,BBCA,bilstm_data_ga,82,False,True
Price to Book Ratio,0.0070469078627259,5,BBCA,bilstm_data_ga,82,False,True
Bid Price,0.0069844900096844,6,BBCA,bilstm_data_ga,82,False,True
High Price,0.004774292896036,7,BBCA,bilstm_data_ga,82,False,True
Price Change 1 Day Percent,0.0029241146791415,8,BBCA,bilstm_data_ga,82,False,True
Dividend Indicated Yld - Gross,0.0013999682133241,9,BBCA,bilstm_data_ga,82,False,True
Price to Sales Ratio,0.000550768765,10,BBCA,bilstm_data_ga,82,False,True
Moving Average 20 Day,0.0051026521006687,1,BBCA,bilstm_macro,42,True,False
Price Earnings Ratio,0.0046021318384667,2,BBCA,bilstm_macro,42,True,False
Price to Sales Ratio,0.0037188751778254,3,BBCA,bilstm_macro,42,True,False
Price to Book Ratio,0.003494185649435,4,BBCA,bilstm_macro,42,True,False
ihsg_close,0.0024477303338547,5,BBCA,bilstm_macro,42,True,False
exchange_rate_usd_idr,0.0022149691241793,6,BBCA,bilstm_macro,42,True,False
High Price,0.0018678901949897,7,BBCA,bilstm_macro,42,True,False
Price Change 1 Day Percent,0.001521070592571,8,BBCA,bilstm_macro,42,True,False
Dividend Indicated Yld - Gross,0.0012022405707587,9,BBCA,bilstm_macro,42,True,False
Low Price,0.0009348206909462,10,BBCA,bilstm_macro,42,True,False
Bid Price,0.0005195337658127,11,BBCA,bilstm_macro,42,True,False
cpi_index,0.0004800874895105,12,BBCA,bilstm_macro,42,True,False
inflation_rate,0.0001309465938469,13,BBCA,bilstm_macro,42,True,False
bi_rate,1.7848735054335856e-05,14,BBCA,bilstm_macro,42,True,False
Ask Price,0.0,15,BBCA,bilstm_macro,42,True,False
ihsg_return_1d,0.0,16,BBCA,bilstm_macro,42,True,False
Bid Price,0.0043247252741518,1,BBCA,bilstm_macro,52,True,False
exchange_rate_usd_idr,0.0035287282398292,2,BBCA,bilstm_macro,52,True,False
Low Price,0.0032872612050806,3,BBCA,bilstm_macro,52,True,False
ihsg_return_1d,0.0030135677196085,4,BBCA,bilstm_macro,52,True,False
ihsg_close,0.0025944666820578,5,BBCA,bilstm_macro,52,True,False
High Price,0.0024700737729943,6,BBCA,bilstm_macro,52,True,False
Price to Book Ratio,0.0019300347606006,7,BBCA,bilstm_macro,52,True,False
Price Change 1 Day Percent,0.001408732876492,8,BBCA,bilstm_macro,52,True,False
cpi_index,0.0012689048288545,9,BBCA,bilstm_macro,52,True,False
Price to Sales Ratio,0.0010597685914641,10,BBCA,bilstm_macro,52,True,False
bi_rate,0.0002810308772425,11,BBCA,bilstm_macro,52,True,False
Moving Average 20 Day,0.0002564538813506,12,BBCA,bilstm_macro,52,True,False
Price Earnings Ratio,0.0002550237618076,13,BBCA,bilstm_macro,52,True,False
Ask Price,6.411155530561975e-05,14,BBCA,bilstm_macro,52,True,False
inflation_rate,0.0,15,BBCA,bilstm_macro,52,True,False
Dividend Indicated Yld - Gross,0.0,16,BBCA,bilstm_macro,52,True,False
Moving Average 20 Day,0.0039846971740997,1,BBCA,bilstm_macro,62,True,False
High Price,0.0036810271079755,2,BBCA,bilstm_macro,62,True,False
bi_rate,0.0031638915960987,3,BBCA,bilstm_macro,62,True,False
Price to Sales Ratio,0.0028315996421345,4,BBCA,bilstm_macro,62,True,False
Ask Price,0.0020425673496598,5,BBCA,bilstm_macro,62,True,False
Dividend Indicated Yld - Gross,0.0019426914630457,6,BBCA,bilstm_macro,62,True,False
Bid Price,0.0016754636638021,7,BBCA,bilstm_macro,62,True,False
exchange_rate_usd_idr,0.0013541970130366,8,BBCA,bilstm_macro,62,True,False
inflation_rate,0.0010661681868239,9,BBCA,bilstm_macro,62,True,False
Price Earnings Ratio,0.0008498492055676,10,BBCA,bilstm_macro,62,True,False
Low Price,0.0007376797400259,11,BBCA,bilstm_macro,62,True,False
ihsg_close,0.0003586173329191,12,BBCA,bilstm_macro,62,True,False
cpi_index,0.0001194878636548,13,BBCA,bilstm_macro,62,True,False
ihsg_return_1d,6.0886567613730655e-05,14,BBCA,bilstm_macro,62,True,False
Price to Book Ratio,2.405749789129857e-06,15,BBCA,bilstm_macro,62,True,False
Price Change 1 Day Percent,0.0,16,BBCA,bilstm_macro,62,True,False
Dividend Indicated Yld - Gross,0.004704842538728,1,BBCA,bilstm_macro,72,True,False
exchange_rate_usd_idr,0.0039410492997073,2,BBCA,bilstm_macro,72,True,False
Low Price,0.003803092361583,3,BBCA,bilstm_macro,72,True,False
Moving Average 20 Day,0.0036904779806112,4,BBCA,bilstm_macro,72,True,False
ihsg_close,0.0035252656585847,5,BBCA,bilstm_macro,72,True,False
Bid Price,0.003361272525896,6,BBCA,bilstm_macro,72,True,False
Price to Book Ratio,0.003281628760936,7,BBCA,bilstm_macro,72,True,False
Price Earnings Ratio,0.0025433984088401,8,BBCA,bilstm_macro,72,True,False
cpi_index,0.0022057146144409,9,BBCA,bilstm_macro,72,True,False
High Price,0.0012106886872788,10,BBCA,bilstm_macro,72,True,False
Price to Sales Ratio,0.0008386532514123,11,BBCA,bilstm_macro,72,True,False
Price Change 1 Day Percent,0.0003331847473358,12,BBCA,bilstm_macro,72,True,False
ihsg_return_1d,3.349862527100381e-06,13,BBCA,bilstm_macro,72,True,False
Ask Price,0.0,14,BBCA,bilstm_macro,72,True,False
inflation_rate,0.0,15,BBCA,bilstm_macro,72,True,False
bi_rate,0.0,16,BBCA,bilstm_macro,72,True,False
Price Change 1 Day Percent,0.0092502345365614,1,BBCA,bilstm_macro,82,True,False
Ask Price,0.005914525273935,2,BBCA,bilstm_macro,82,True,False
cpi_index,0.0050706195819657,3,BBCA,bilstm_macro,82,True,False
Moving Average 20 Day,0.0045335482552117,4,BBCA,bilstm_macro,82,True,False
Dividend Indicated Yld - Gross,0.0030734754560398,5,BBCA,bilstm_macro,82,True,False
exchange_rate_usd_idr,0.0025713635828449,6,BBCA,bilstm_macro,82,True,False
Price Earnings Ratio,0.0021183013882061,7,BBCA,bilstm_macro,82,True,False
High Price,0.0017783491001076,8,BBCA,bilstm_macro,82,True,False
Low Price,0.0013749424489409,9,BBCA,bilstm_macro,82,True,False
ihsg_close,0.0005396757027483,10,BBCA,bilstm_macro,82,True,False
ihsg_return_1d,0.0003907878625129,11,BBCA,bilstm_macro,82,True,False
bi_rate,0.0003792851474524,12,BBCA,bilstm_macro,82,True,False
inflation_rate,0.0003332757822742,13,BBCA,bilstm_macro,82,True,False
Bid Price,0.0002188243292039,14,BBCA,bilstm_macro,82,True,False
Price to Sales Ratio,0.000139387253633,15,BBCA,bilstm_macro,82,True,False
Price to Book Ratio,0.0,16,BBCA,bilstm_macro,82,True,False
Low Price,9172014809306.465,1,BBCA,bilstm_macro_ga,42,True,True
ihsg_return_1d,9172014809306.46,2,BBCA,bilstm_macro_ga,42,True,True
Price to Book Ratio,9172014809306.455,3,BBCA,bilstm_macro_ga,42,True,True
Moving Average 20 Day,9172014809306.451,4,BBCA,bilstm_macro_ga,42,True,True
bi_rate,0.017092272907307,5,BBCA,bilstm_macro_ga,42,True,True
Price Earnings Ratio,0.0068975731943889,6,BBCA,bilstm_macro_ga,42,True,True
Price Change 1 Day Percent,0.0049177085990474,7,BBCA,bilstm_macro_ga,42,True,True
Price to Sales Ratio,0.0037831905011054,8,BBCA,bilstm_macro_ga,42,True,True
inflation_rate,0.0037004096840973,9,BBCA,bilstm_macro_ga,42,True,True
cpi_index,0.0026021189871244,10,BBCA,bilstm_macro_ga,42,True,True
Ask Price,0.0025259572799162,11,BBCA,bilstm_macro_ga,42,True,True
Bid Price,0.0021100356082786,12,BBCA,bilstm_macro_ga,42,True,True
High Price,0.0016192979340086,13,BBCA,bilstm_macro_ga,42,True,True
ihsg_close,0.0009151374743807,14,BBCA,bilstm_macro_ga,42,True,True
exchange_rate_usd_idr,6.41589324610931e-05,15,BBCA,bilstm_macro_ga,42,True,True
Dividend Indicated Yld - Gross,0.0,16,BBCA,bilstm_macro_ga,42,True,True
