date,forecast_price
2024-12-31,9598.417
2025-01-01,9682.404
2025-01-02,9571.421
2025-01-03,9576.304
2025-01-04,9641.646
2025-01-05,9543.76
2025-01-06,9582.757
2025-01-07,9601.34
2025-01-08,9535.848
2025-01-09,9546.331
2025-01-10,9541.61
2025-01-11,9542.3545
2025-01-12,9497.248
2025-01-13,9484.81
2025-01-14,9479.51
2025-01-15,9476.166
2025-01-16,9458.333
2025-01-17,9480.334
2025-01-18,9401.316
2025-01-19,9448.77
2025-01-20,9453.925
2025-01-21,9411.031
2025-01-22,9454.052
2025-01-23,9412.487
2025-01-24,9413.658
2025-01-25,9419.869
2025-01-26,9385.047
2025-01-27,9443.862
2025-01-28,9405.533
2025-01-29,9407.652
