date,forecast_price
2024-12-31,9888.926
2025-01-01,9868.0
2025-01-02,9864.386
2025-01-03,9842.97
2025-01-04,9826.273
2025-01-05,9800.586
2025-01-06,9801.008
2025-01-07,9788.898
2025-01-08,9766.781
2025-01-09,9745.104
2025-01-10,9714.239
2025-01-11,9701.412
2025-01-12,9682.452
2025-01-13,9660.912
2025-01-14,9630.422
2025-01-15,9610.449
2025-01-16,9586.23
2025-01-17,9567.18
2025-01-18,9555.691
2025-01-19,9542.771
2025-01-20,9527.703
2025-01-21,9506.323
2025-01-22,9495.006
2025-01-23,9481.469
2025-01-24,9471.1045
2025-01-25,9454.714
2025-01-26,9443.278
2025-01-27,9450.177
2025-01-28,9435.575
2025-01-29,9428.41
