feature,importance
Bid Price,0.0055896899935185115
bi_rate,0.00365828896470706
Low Price,0.003307342977984892
cpi_index,0.003268464298722692
Price Earnings Ratio,0.0030929516850891777
Moving Average 20 Day,0.003080048647610921
High Price,0.0029333972088437083
ihsg_return_1d,0.0025963860594497225
Price to Book Ratio,0.002554817774767693
inflation_rate,0.002505352914442836
Price Change 1 Day Percent,0.0024230277229246385
Dividend Indicated Yld - Gross,0.002126221638271174
Price to Sales Ratio,0.0021176410730039622
Ask Price,0.0019968412428767774
exchange_rate_usd_idr,0.0016923910005562114
ihsg_close,0.001608750249664109
