feature,importance
Moving Average 20 Day,0.003149164912547625
Dividend Indicated Yld - Gross,0.001599599052350527
Price to Book Ratio,0.001560345441123265
High Price,0.001498737519003327
bi_rate,0.0013689940145884887
cpi_index,0.001349675211642126
ihsg_close,0.0013219263049875291
Price Change 1 Day Percent,0.0012830787540008338
inflation_rate,0.0012815771807740013
Bid Price,0.0012597806565844895
Ask Price,0.0012234956136889011
Low Price,0.0010191866028547495
exchange_rate_usd_idr,0.0010164936858761229
ihsg_return_1d,0.0009596663992136977
Price Earnings Ratio,0.0009246968778502811
Price to Sales Ratio,0.000818158132737451
