date,forecast_price
2024-12-31,4477.0303
2025-01-01,4443.7417
2025-01-02,4498.2866
2025-01-03,4557.446
2025-01-04,4570.6787
2025-01-05,4489.634
2025-01-06,4613.5586
2025-01-07,4601.3804
2025-01-08,4475.4336
2025-01-09,4525.046
2025-01-10,4602.3955
2025-01-11,4461.95
2025-01-12,4437.7256
2025-01-13,4559.0103
2025-01-14,4450.2656
2025-01-15,4405.032
2025-01-16,4476.1895
2025-01-17,4441.769
2025-01-18,4367.838
2025-01-19,4399.5737
2025-01-20,4457.5024
2025-01-21,4372.5293
2025-01-22,4332.828
2025-01-23,4451.8066
2025-01-24,4392.304
2025-01-25,4285.4683
2025-01-26,4359.796
2025-01-27,4401.716
2025-01-28,4283.892
2025-01-29,4338.16
