epoch,train_loss,val_loss,lr
1,0.49463295962220877,0.2899657870123992,0.001
2,0.23719924626384584,0.49806978305180866,0.001
3,0.18911190209209278,0.17384579287959145,0.001
4,0.16615363124450902,0.4865379207061999,0.001
5,0.137865928616575,0.2314021726310392,0.001
6,0.12921265422443334,0.2937407370630678,0.001
7,0.11630185770945738,0.27300742810422723,0.001
8,0.11061465815510801,0.2570301376300536,0.001
9,0.10392422156949196,0.23528419271771447,0.001
10,0.10220952071383008,0.32226717631855767,0.001
11,0.0987023979906113,0.2640902956465741,0.001
12,0.10079101415411118,0.3245121300359428,0.0005
13,0.09619988430571813,0.25716105575883863,0.0005
14,0.09546001785865393,0.22987391259564663,0.0005
15,0.09107457847471305,0.21607565810352494,0.0005
16,0.08671286141893769,0.24622043119721757,0.0005
17,0.08673256176881038,0.2264910957543722,0.0005
18,0.08941204677666387,0.23963525762785842,0.0005
19,0.08850382411565405,0.1917989711453031,0.0005
20,0.08780467233029746,0.24822251620270433,0.0005
21,0.08617857228897806,0.19047933042327286,0.00025
22,0.08282349654423293,0.23831562249810545,0.00025
23,0.08293610412266947,0.2248527427444925,0.00025
