date,forecast_price
2024-12-31,5230.6226
2025-01-01,5174.767
2025-01-02,5184.9834
2025-01-03,5230.7627
2025-01-04,5151.998
2025-01-05,5126.5376
2025-01-06,5132.991
2025-01-07,5125.9746
2025-01-08,5100.6797
2025-01-09,5073.3105
2025-01-10,5060.654
2025-01-11,5059.91
2025-01-12,5028.307
2025-01-13,5006.4614
2025-01-14,4988.8257
2025-01-15,4991.8237
2025-01-16,4972.37
2025-01-17,4952.7744
2025-01-18,4950.035
2025-01-19,4940.9854
2025-01-20,4928.3794
2025-01-21,4919.0376
2025-01-22,4898.7124
2025-01-23,4896.513
2025-01-24,4891.064
2025-01-25,4886.3877
2025-01-26,4860.528
2025-01-27,4862.3945
2025-01-28,4871.054
2025-01-29,4862.4473
