date,forecast_price
2024-12-31,5611.76
2025-01-01,5635.7207
2025-01-02,5628.545
2025-01-03,5609.8184
2025-01-04,5583.2207
2025-01-05,5547.723
2025-01-06,5544.9673
2025-01-07,5538.108
2025-01-08,5504.3867
2025-01-09,5478.555
2025-01-10,5449.2666
2025-01-11,5428.874
2025-01-12,5392.6865
2025-01-13,5375.359
2025-01-14,5341.2114
2025-01-15,5328.9746
2025-01-16,5318.55
2025-01-17,5306.4214
2025-01-18,5292.9316
2025-01-19,5289.575
2025-01-20,5274.9395
2025-01-21,5265.73
2025-01-22,5239.401
2025-01-23,5248.24
2025-01-24,5237.9526
2025-01-25,5226.9834
2025-01-26,5229.6016
2025-01-27,5240.319
2025-01-28,5216.3154
2025-01-29,5217.754
