date,forecast_price
2024-12-31,4097.283
2025-01-01,4058.2852
2025-01-02,4039.4946
2025-01-03,4039.116
2025-01-04,4038.706
2025-01-05,4035.0835
2025-01-06,4033.4805
2025-01-07,4033.376
2025-01-08,4029.2874
2025-01-09,4028.3574
2025-01-10,4025.7935
2025-01-11,4024.962
2025-01-12,4023.9082
2025-01-13,4021.1467
2025-01-14,4019.4253
2025-01-15,4019.72
2025-01-16,4015.8186
2025-01-17,4014.3086
2025-01-18,4013.9543
2025-01-19,4010.1807
2025-01-20,4010.8816
2025-01-21,4008.9204
2025-01-22,4005.6587
2025-01-23,4006.5474
2025-01-24,4005.6877
2025-01-25,4002.6938
2025-01-26,4003.0508
2025-01-27,4000.4504
2025-01-28,3998.9355
2025-01-29,3998.3215
