date,forecast_price
2024-12-31,4650.826
2025-01-01,4524.128
2025-01-02,4475.981
2025-01-03,4470.474
2025-01-04,4470.2627
2025-01-05,4471.2686
2025-01-06,4468.953
2025-01-07,4462.5405
2025-01-08,4461.4307
2025-01-09,4463.299
2025-01-10,4458.785
2025-01-11,4459.3735
2025-01-12,4456.2915
2025-01-13,4453.3813
2025-01-14,4455.137
2025-01-15,4452.7886
2025-01-16,4451.5566
2025-01-17,4451.042
2025-01-18,4446.9634
2025-01-19,4445.741
2025-01-20,4446.453
2025-01-21,4442.093
2025-01-22,4439.035
2025-01-23,4438.9688
2025-01-24,4439.856
2025-01-25,4430.5547
2025-01-26,4430.2803
2025-01-27,4429.5903
2025-01-28,4429.89
2025-01-29,4427.507
