feature,importance
Moving Average 20 Day,0.0030548608591466696
Price to Book Ratio,0.0018589539493265382
exchange_rate_usd_idr,0.0015450648287708042
cpi_index,0.001490350810936983
ihsg_close,0.001319475233005965
High Price,0.001306118094008123
Bid Price,0.0012272815341145909
Price to Sales Ratio,0.0011551044770586694
Low Price,0.0010898735479627046
Dividend Indicated Yld - Gross,0.0010291871835540177
ihsg_return_1d,0.0009735201694203509
Ask Price,0.0008540909944050024
Price Change 1 Day Percent,0.0008267689270777534
inflation_rate,0.0007434669823661622
bi_rate,0.0006857954384312318
Price Earnings Ratio,0.000680167631392835
