date,forecast_price
2024-12-31,1169.8912
2025-01-01,1162.8071
2025-01-02,1169.7455
2025-01-03,1168.1206
2025-01-04,1168.8208
2025-01-05,1170.3613
2025-01-06,1169.1952
2025-01-07,1168.5061
2025-01-08,1167.6511
2025-01-09,1169.5922
2025-01-10,1169.92
2025-01-11,1168.3457
2025-01-12,1167.0228
2025-01-13,1168.4817
2025-01-14,1169.632
2025-01-15,1168.4071
2025-01-16,1168.8844
2025-01-17,1167.4098
2025-01-18,1168.8359
2025-01-19,1167.4772
2025-01-20,1168.153
2025-01-21,1167.4739
2025-01-22,1167.3877
2025-01-23,1168.7471
2025-01-24,1167.342
2025-01-25,1169.0757
2025-01-26,1167.5514
2025-01-27,1166.7998
2025-01-28,1167.5151
2025-01-29,1168.2014
