feature,importance
Price to Sales Ratio,0.0019452768977162166
ihsg_close,0.0017586813609520367
Ask Price,0.0015819923623532663
Price Change 1 Day Percent,0.0015337442775454299
Moving Average 20 Day,0.001411392426124173
Bid Price,0.0014104267265799754
bi_rate,0.0012488695609665624
High Price,0.0012132516065126125
Low Price,0.0010563985404522373
inflation_rate,0.0009703227441508609
ihsg_return_1d,0.0009327113487787383
Price to Book Ratio,0.0009323740661949842
Dividend Indicated Yld - Gross,0.0009138942036497484
cpi_index,0.000893100395825338
Price Earnings Ratio,0.0004182392331124291
exchange_rate_usd_idr,0.0003876416720655932
