date,forecast_price
2024-12-31,1223.4819
2025-01-01,1257.6499
2025-01-02,1254.3346
2025-01-03,1254.5242
2025-01-04,1254.159
2025-01-05,1252.5626
2025-01-06,1251.7234
2025-01-07,1250.1315
2025-01-08,1249.953
2025-01-09,1250.8717
2025-01-10,1249.6176
2025-01-11,1247.3407
2025-01-12,1246.903
2025-01-13,1246.3761
2025-01-14,1244.1431
2025-01-15,1243.7388
2025-01-16,1241.0806
2025-01-17,1241.3618
2025-01-18,1240.3118
2025-01-19,1239.6317
2025-01-20,1237.6567
2025-01-21,1237.6116
2025-01-22,1235.7318
2025-01-23,1235.4489
2025-01-24,1231.9478
2025-01-25,1233.2355
2025-01-26,1231.6367
2025-01-27,1231.3893
2025-01-28,1229.1266
2025-01-29,1228.976
