date,forecast_price
2024-12-31,3037.777
2025-01-01,3026.6885
2025-01-02,2979.7988
2025-01-03,2978.5344
2025-01-04,2957.2144
2025-01-05,2926.506
2025-01-06,2903.6018
2025-01-07,2881.974
2025-01-08,2878.5344
2025-01-09,2834.838
2025-01-10,2803.974
2025-01-11,2784.9312
2025-01-12,2743.6318
2025-01-13,2735.998
2025-01-14,2696.4438
2025-01-15,2690.2842
2025-01-16,2640.147
2025-01-17,2638.8242
2025-01-18,2599.6758
2025-01-19,2572.3628
2025-01-20,2568.5703
2025-01-21,2555.4097
2025-01-22,2517.0562
2025-01-23,2511.6216
2025-01-24,2481.957
2025-01-25,2449.2993
2025-01-26,2440.7732
2025-01-27,2415.5508
2025-01-28,2381.1108
2025-01-29,2357.6772
