date,forecast_price
2024-12-31,2844.642
2025-01-01,2864.419
2025-01-02,2855.8271
2025-01-03,2865.3125
2025-01-04,2895.3723
2025-01-05,2881.7
2025-01-06,2861.4353
2025-01-07,2876.4736
2025-01-08,2875.5627
2025-01-09,2864.3662
2025-01-10,2865.6719
2025-01-11,2872.2505
2025-01-12,2854.5056
2025-01-13,2849.498
2025-01-14,2860.8574
2025-01-15,2862.6616
2025-01-16,2839.2432
2025-01-17,2851.4211
2025-01-18,2851.2417
2025-01-19,2849.1816
2025-01-20,2849.5864
2025-01-21,2850.1616
2025-01-22,2841.4778
2025-01-23,2852.1675
2025-01-24,2854.112
2025-01-25,2849.0234
2025-01-26,2844.2676
2025-01-27,2854.9443
2025-01-28,2843.279
2025-01-29,2846.1946
