date,forecast_price
2024-12-31,1856.616
2025-01-01,1754.1895
2025-01-02,1760.6775
2025-01-03,1886.8187
2025-01-04,1990.0734
2025-01-05,2365.2747
2025-01-06,2174.0854
2025-01-07,2072.458
2025-01-08,2114.435
2025-01-09,2042.352
2025-01-10,2043.7294
2025-01-11,1993.5913
2025-01-12,2085.8057
2025-01-13,1975.2982
2025-01-14,2011.1245
2025-01-15,2098.4265
2025-01-16,2005.9606
2025-01-17,1936.8894
2025-01-18,2017.9061
2025-01-19,1966.1906
2025-01-20,1970.6499
2025-01-21,2019.7114
2025-01-22,1925.9581
2025-01-23,1920.8291
2025-01-24,1974.1119
2025-01-25,1892.047
2025-01-26,1922.6931
2025-01-27,1905.1991
2025-01-28,1926.6809
2025-01-29,2007.9384
