feature,importance
Moving Average 20 Day,0.0021456428330798223
Bid Price,0.0013753323918445485
Ask Price,0.0013390464031575436
bi_rate,0.001310248740491924
Low Price,0.0012716452122634417
High Price,0.0012241831814655954
inflation_rate,0.0012019600349861012
Price Change 1 Day Percent,0.0010491773426160806
ihsg_close,0.0009740980329497752
Price to Sales Ratio,0.000967886968596373
Price to Book Ratio,0.0009097199055145898
Dividend Indicated Yld - Gross,0.0007997906339199068
exchange_rate_usd_idr,0.0006892347966294162
cpi_index,0.000620945331118821
ihsg_return_1d,0.0005769671375511424
Price Earnings Ratio,0.0004926021465266919
