date,forecast_price
2024-12-31,2389.8787
2025-01-01,2490.5642
2025-01-02,2505.6208
2025-01-03,2508.7925
2025-01-04,2506.7844
2025-01-05,2507.0454
2025-01-06,2507.4377
2025-01-07,2508.3125
2025-01-08,2509.0935
2025-01-09,2510.5615
2025-01-10,2508.0142
2025-01-11,2512.279
2025-01-12,2505.0352
2025-01-13,2509.262
2025-01-14,2504.52
2025-01-15,2508.9663
2025-01-16,2504.3489
2025-01-17,2509.3657
2025-01-18,2506.5674
2025-01-19,2511.0303
2025-01-20,2507.7158
2025-01-21,2508.0713
2025-01-22,2507.1353
2025-01-23,2506.6316
2025-01-24,2504.6528
2025-01-25,2507.1426
2025-01-26,2503.9785
2025-01-27,2504.691
2025-01-28,2502.8323
2025-01-29,2506.3452
