date,forecast_price
2024-12-31,2251.2002
2025-01-01,2317.041
2025-01-02,2285.2334
2025-01-03,2288.3557
2025-01-04,2284.1436
2025-01-05,2288.9805
2025-01-06,2280.8296
2025-01-07,2286.3162
2025-01-08,2282.0396
2025-01-09,2281.6528
2025-01-10,2282.9338
2025-01-11,2284.892
2025-01-12,2279.5586
2025-01-13,2284.8296
2025-01-14,2280.2712
2025-01-15,2280.2554
2025-01-16,2281.043
2025-01-17,2280.7065
2025-01-18,2275.2925
2025-01-19,2274.8093
2025-01-20,2275.061
2025-01-21,2276.429
2025-01-22,2273.5337
2025-01-23,2278.4268
2025-01-24,2275.9534
2025-01-25,2272.429
2025-01-26,2274.2217
2025-01-27,2271.6348
2025-01-28,2276.183
2025-01-29,2272.0852
