feature,importance
Moving Average 20 Day,0.002546964598846324
High Price,0.0013156298711290307
Low Price,0.001155004681255333
ihsg_close,0.0011483682484864565
Price Change 1 Day Percent,0.0011424751759496173
Price to Book Ratio,0.0008624538462276479
bi_rate,0.0008559976736955813
Bid Price,0.0008477309769103229
Ask Price,0.000832438724383563
Dividend Indicated Yld - Gross,0.0007404266604315458
Price to Sales Ratio,0.0007397615585150277
exchange_rate_usd_idr,0.0006843758463415231
cpi_index,0.0006441627842021979
Price Earnings Ratio,0.0006170379828737725
inflation_rate,0.0004428276177685588
ihsg_return_1d,0.0003312989238569407
