date,forecast_price
2024-12-31,4382.5522
2025-01-01,4424.788
2025-01-02,4413.9907
2025-01-03,4413.8076
2025-01-04,4418.06
2025-01-05,4389.4443
2025-01-06,4398.2886
2025-01-07,4392.6235
2025-01-08,4378.598
2025-01-09,4377.6416
2025-01-10,4349.339
2025-01-11,4350.524
2025-01-12,4317.488
2025-01-13,4316.238
2025-01-14,4299.868
2025-01-15,4301.972
2025-01-16,4289.7983
2025-01-17,4303.749
2025-01-18,4287.0
2025-01-19,4307.7114
2025-01-20,4303.8247
2025-01-21,4307.8
2025-01-22,4298.9956
2025-01-23,4308.57
2025-01-24,4313.3374
2025-01-25,4280.2124
2025-01-26,4312.6143
2025-01-27,4334.347
2025-01-28,4331.8276
2025-01-29,4336.6235
