feature,importance
Low Price,0.0026891651318055767
ihsg_close,0.002665379488201859
High Price,0.0022058372103394537
Bid Price,0.0020170594805205403
Ask Price,0.0019952618208510277
inflation_rate,0.0017389907570854494
ihsg_return_1d,0.0015329371292995817
Price to Book Ratio,0.001337936523797004
Price Change 1 Day Percent,0.0013142494272838708
Price Earnings Ratio,0.0012545314927501297
exchange_rate_usd_idr,0.0012300502045690129
Moving Average 20 Day,0.001205511602905293
cpi_index,0.0011896689931411343
Dividend Indicated Yld - Gross,0.001183772667963153
Price to Sales Ratio,0.0010103597479748261
bi_rate,0.0007023431933832232
