date,forecast_price
2024-12-31,4818.8486
2025-01-01,4780.97
2025-01-02,4799.9766
2025-01-03,4795.8384
2025-01-04,4801.626
2025-01-05,4797.676
2025-01-06,4802.5522
2025-01-07,4801.2617
2025-01-08,4804.743
2025-01-09,4800.7554
2025-01-10,4803.7603
2025-01-11,4802.743
2025-01-12,4803.4136
2025-01-13,4802.621
2025-01-14,4805.6465
2025-01-15,4804.019
2025-01-16,4806.99
2025-01-17,4808.161
2025-01-18,4810.3213
2025-01-19,4810.276
2025-01-20,4812.9663
2025-01-21,4812.426
2025-01-22,4815.7974
2025-01-23,4815.7754
2025-01-24,4817.7783
2025-01-25,4817.621
2025-01-26,4821.0576
2025-01-27,4820.6426
2025-01-28,4824.175
2025-01-29,4822.082
