date,forecast_price
2024-12-31,1594.4224
2025-01-01,1591.9424
2025-01-02,1576.7367
2025-01-03,1583.0192
2025-01-04,1566.7417
2025-01-05,1565.3396
2025-01-06,1571.857
2025-01-07,1566.8457
2025-01-08,1561.9049
2025-01-09,1564.4163
2025-01-10,1563.6288
2025-01-11,1554.2504
2025-01-12,1556.7057
2025-01-13,1564.2756
2025-01-14,1554.6777
2025-01-15,1548.1044
2025-01-16,1555.7374
2025-01-17,1552.092
2025-01-18,1542.5974
2025-01-19,1546.9922
2025-01-20,1547.1804
2025-01-21,1539.0109
2025-01-22,1540.4275
2025-01-23,1537.8479
2025-01-24,1538.8737
2025-01-25,1537.1975
2025-01-26,1535.9761
2025-01-27,1537.2567
2025-01-28,1533.4945
2025-01-29,1530.956
