feature,importance
Low Price,0.0018937652312581473
Bid Price,0.0017607547039840328
cpi_index,0.001742238230059002
Price to Book Ratio,0.0016511216376049818
inflation_rate,0.001268105606777813
Price to Sales Ratio,0.0011630083064233163
Price Change 1 Day Percent,0.0010702823571537253
Ask Price,0.0010656598344112608
High Price,0.0010476842286241855
Moving Average 20 Day,0.0009429535862082712
Dividend Indicated Yld - Gross,0.0009270705219883911
ihsg_close,0.0008775444153286386
Price Earnings Ratio,0.0007799447758228052
bi_rate,0.0007244650766743578
exchange_rate_usd_idr,0.0006105308791215619
ihsg_return_1d,0.0005579237975883405
