date,forecast_price
2024-12-31,1453.3036
2025-01-01,1454.4812
2025-01-02,1454.7458
2025-01-03,1454.6294
2025-01-04,1454.4775
2025-01-05,1454.2534
2025-01-06,1454.5596
2025-01-07,1454.2015
2025-01-08,1454.7667
2025-01-09,1454.6255
2025-01-10,1454.7861
2025-01-11,1454.42
2025-01-12,1454.479
2025-01-13,1454.2666
2025-01-14,1454.7196
2025-01-15,1454.7808
2025-01-16,1454.7367
2025-01-17,1454.6631
2025-01-18,1454.1707
2025-01-19,1454.3743
2025-01-20,1454.154
2025-01-21,1454.3872
2025-01-22,1454.1909
2025-01-23,1454.0898
2025-01-24,1454.1147
2025-01-25,1454.3486
2025-01-26,1454.2253
2025-01-27,1454.4375
2025-01-28,1453.4299
2025-01-29,1454.5059
