"bank","case","n","rmse_mean","rmse_std"
"BBCA","autoformer_macro","5","545.928039689145","235.42392078219"
"BBCA","autoformer_data","5","572.013888990756","77.893518477719"
"BBCA","autoformer_data_random","5","721.999577466068","621.353081062129"
"BBCA","informer_data_random","5","941.878394337295","477.356808903989"
"BBCA","informer_data","5","982.717577166158","141.011916733466"
"BBCA","autoformer_macro_random","5","1023.49751434946","481.469475921746"
"BBCA","informer_macro","5","1031.06774793854","344.640039408766"
"BBCA","informer_macro_random","5","1407.28602967213","371.916498843591"
"BBNI","informer_data","5","219.663725852093","26.9428441862693"
"BBNI","informer_macro","5","226.745877512932","45.3846784996782"
"BBNI","informer_data_random","5","305.601047793874","68.7958403406086"
"BBNI","informer_macro_random","5","339.072949305379","90.6524843192536"
"BBNI","autoformer_data_random","5","377.249775424838","118.309284514727"
"BBNI","autoformer_macro","5","391.312494315875","34.6052613826412"
"BBNI","autoformer_macro_random","5","422.115801455293","84.2139563051739"
"BBNI","autoformer_data","5","426.493283780708","89.2195160821637"
"BBRI","informer_macro","5","379.212973357794","46.6773402552219"
"BBRI","informer_data","5","395.812356537913","72.0689527631682"
"BBRI","autoformer_data_random","5","441.351505919464","73.590583298081"
"BBRI","autoformer_macro_random","5","453.14975003797","123.854340371185"
"BBRI","autoformer_data","5","457.200537189684","148.510640058483"
"BBRI","informer_data_random","5","481.490082605091","101.766662351567"
"BBRI","informer_macro_random","5","494.475447988784","204.163999236953"
"BBRI","autoformer_macro","5","575.639143653725","120.272711179665"
"BBTN","informer_data_random","5","43.0054040162595","14.6027750093416"
"BBTN","informer_data","5","53.9112710763282","17.8400887073001"
"BBTN","informer_macro","5","69.6156504508875","24.7074096783039"
"BBTN","autoformer_data","5","138.196020181616","48.3220151289746"
"BBTN","autoformer_data_random","5","140.010015293283","40.2373074234243"
"BBTN","autoformer_macro","5","151.757576389952","62.6212029908465"
"BBTN","informer_macro_random","5","162.981996091461","79.3846697238382"
"BBTN","autoformer_macro_random","5","256.777971327662","103.551919365059"
"BDMN","informer_data","5","76.8167761881587","14.7135028118663"
"BDMN","informer_data_random","5","84.8503042825051","15.9421613083201"
"BDMN","informer_macro","5","165.121785161853","27.5855905821548"
"BDMN","informer_macro_random","5","330.407517108527","107.428246296821"
"BDMN","autoformer_data","5","333.005090508011","149.943187192064"
"BDMN","autoformer_macro","5","349.851919643185","81.6301200306802"
"BDMN","autoformer_data_random","5","365.1120794537","149.141522487327"
"BDMN","autoformer_macro_random","5","571.694132187608","263.451813453989"
"BMRI","informer_data_random","5","885.211409449651","320.242421514857"
"BMRI","informer_data","5","945.646379566267","227.539642324183"
"BMRI","autoformer_data","5","1053.59596959917","358.317850072362"
"BMRI","informer_macro","5","1082.68300943605","177.971472708769"
"BMRI","autoformer_macro","5","1181.04699118488","299.754883432143"
"BMRI","informer_macro_random","5","1195.18053333439","263.159926989568"
"BMRI","autoformer_data_random","5","1252.23132973738","297.812617941523"
"BMRI","autoformer_macro_random","5","1393.3440456576","240.629501076112"
"BNGA","informer_data","5","132.561429353703","38.3836746234381"
"BNGA","informer_macro","5","195.927429408794","27.068341220346"
"BNGA","autoformer_data","5","196.581073015805","41.3301200712017"
"BNGA","informer_data_random","5","204.980293808617","54.2620284959436"
"BNGA","autoformer_data_random","5","214.607135758332","65.8659966307542"
"BNGA","informer_macro_random","5","217.270823161178","23.6155204953739"
"BNGA","autoformer_macro","5","279.895598586115","79.3722193282269"
"BNGA","autoformer_macro_random","5","342.694087573681","100.315112883682"
